	In113Di	In115Di	Xe134Di	Pr141Di	Nd142Di	Nd143Di	Nd144Di	Nd145Di	Nd146Di	Sm147Di	Nd148Di	Sm149Di	Nd150Di	Eu151Di	Sm152Di	Eu153Di	Sm154Di	Gd155Di	Gd156Di	Gd158Di	Tb159Di	Gd160Di	Dy161Di	Dy162Di	Dy163Di	Dy164Di	Ho165Di	Er166Di	Er167Di	Er168Di	Tm169Di	Er170Di	Yb171Di	Yb172Di	Yb173Di	Yb174Di	Lu175Di	Yb176Di	Ir191Di	Ir193Di
Dy161Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002557803	1	0.033293324	0.01043092	0.006643634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy162Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066358	0.015693785	1	0.051463955	0.00959272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy163Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000305975	0.003783284	0.012892643	1	0.02263317	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy164Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000500446	0.005005068	0.008394905	0.028864316	1	0.005859798	0	0	0	0	0	0	0	0	0	0	0	0	0
Er166Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000513458	0.000805806	1	0.020928489	0.004581435	0	0.000999971	0	0	0	0	0	0	0	0
Er167Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009439591	1	0.031539898	0	0	0	0	0	0	0	0	0	0
Er168Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003120111	0.006824998	1	0.006766711	0.003508295	0	0	0	0	0	0	0	0
Er170Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000275444	0	0.006805305	0.005643157	0.010347075	0.001368526	1	0.009389559	0	0	0	0	0	0	0
Eu151Di	0	0	0	0	0	0	0	0	0	0	0	0	0.000850017	1	0.005140578	0.009550418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eu153Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00730391	0.001175301	1	0.004293432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
